Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,8192,184.610410,-0.9922,0.1077,0.2362,882.00,0.0
2,16384,180.895057,0.1689,0.0365,0.1304,299.33,0.0
3,24576,187.310267,0.3276,0.0248,0.1308,202.80,0.0
4,32768,185.219338,0.2243,0.0380,0.2021,311.70,0.0
5,40960,188.022541,0.2085,0.0770,0.2633,631.10,0.0
6,49152,193.280926,0.4903,0.1260,0.3547,1031.93,0.0
7,57344,193.461110,0.4522,0.1487,0.3631,1217.97,0.0
8,65536,193.445416,0.4198,0.1104,0.3014,904.72,0.0
9,73728,189.385623,0.0397,0.1169,0.3116,957.62,0.0
10,81920,196.920994,0.3197,0.1889,0.3858,1547.55,0.0
11,90112,187.653604,0.4628,0.1572,0.3742,1287.95,0.0
12,98304,192.380593,0.6696,0.1920,0.4234,1572.80,0.0
13,106496,188.760164,0.5418,0.1801,0.4107,1475.62,0.0
14,114688,192.718139,0.4888,0.2387,0.4910,1955.55,0.0
15,122880,187.898047,0.4449,0.2903,0.4550,2378.40,1.3125
16,131072,194.650846,1.1694,0.2584,0.4969,2116.85,0.0
17,139264,188.784600,0.7718,0.2888,0.5131,2366.02,0.0
18,147456,198.382147,0.9117,0.2894,0.5032,2371.00,0.0
19,155648,186.735160,0.6404,0.2973,0.5231,2435.20,1.375
20,163840,194.033372,0.8786,0.3226,0.5031,2643.14,0.0
21,172032,188.496659,0.9182,0.3011,0.5316,2466.93,0.0
22,180224,192.826014,0.6831,0.3254,0.5452,2665.38,0.0
23,188416,186.312017,0.9425,0.3479,0.5591,2850.12,0.0
24,196608,186.716004,1.3282,0.3514,0.5801,2879.07,0.0
25,204800,194.300247,1.0752,0.3761,0.5530,3080.72,0.0
26,212992,185.695915,1.1588,0.3727,0.5621,3052.80,0.0
27,221184,193.274938,1.7658,0.3502,0.5701,2868.50,0.0
28,229376,183.165901,1.0521,0.3475,0.5621,2846.73,0.0
29,237568,192.108408,0.9054,0.3754,0.5664,3074.93,0.0
30,245760,188.285462,0.6355,0.3719,0.5595,3046.66,1.3125
31,253952,189.099342,1.2400,0.3665,0.5596,3002.05,0.0
32,262144,184.124263,1.1945,0.3877,0.5819,3176.43,0.0
33,270336,194.752223,1.3483,0.3693,0.5977,3024.93,0.0
34,278528,186.370442,1.3577,0.4015,0.5753,3288.77,0.0
35,286720,192.923974,1.2368,0.3867,0.5677,3167.93,0.0
36,294912,184.507659,0.8996,0.3630,0.5978,2973.48,0.0
37,303104,183.473041,0.8061,0.3773,0.5717,3090.85,2.25
38,311296,187.370252,1.3940,0.3593,0.5710,2943.50,0.4375
39,319488,181.836205,1.0429,0.3759,0.5858,3079.45,0.0
40,327680,189.301699,0.9123,0.3938,0.5842,3225.77,0.0
41,335872,183.242066,0.8550,0.3724,0.5713,3050.60,0.0
