Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,8192,142.049027,0.0177,0.1680,0.3477,1376.07,0.0
2,16384,144.514269,0.8957,0.0974,0.3091,798.12,0.0
3,24576,145.995452,-0.1243,0.0531,0.2124,434.83,0.0
4,32768,146.423282,0.3353,0.0231,0.1118,189.48,0.0
5,40960,147.044472,0.2546,0.0391,0.2157,320.40,0.0
6,49152,145.304702,0.1399,0.1236,0.3432,1012.40,0.0
7,57344,145.743531,0.2169,0.1114,0.2967,912.83,0.0
8,65536,146.276173,0.1532,0.1080,0.2859,885.05,0.0
9,73728,146.203306,0.2709,0.1340,0.3606,1097.38,0.0
10,81920,145.904644,0.1255,0.1423,0.3577,1165.70,0.0
11,90112,145.538576,0.1076,0.1703,0.3653,1394.93,0.0
12,98304,145.085526,0.3732,0.1638,0.3702,1342.10,0.0
13,106496,145.526669,0.3269,0.2004,0.4022,1641.85,0.0
14,114688,144.783576,0.4458,0.1678,0.3998,1374.90,0.0
15,122880,144.705774,0.2939,0.2139,0.4799,1752.15,0.0
16,131072,145.348703,0.4577,0.2217,0.4492,1816.15,0.0
17,139264,144.409392,0.0485,0.2506,0.4607,2052.83,0.0
18,147456,143.605244,0.6093,0.2240,0.4468,1835.30,0.0
19,155648,143.439081,0.5910,0.2279,0.4825,1867.15,0.0
20,163840,142.861319,0.4528,0.2740,0.5048,2244.62,0.0
21,172032,142.787249,-0.1043,0.2548,0.4881,2087.15,0.0
22,180224,142.409443,0.9462,0.2758,0.5195,2258.98,0.0
23,188416,142.322864,0.9024,0.2799,0.5029,2292.73,0.0
24,196608,142.524356,0.9456,0.2914,0.5172,2386.75,0.0
25,204800,142.475452,0.5141,0.2705,0.4848,2215.62,0.0
26,212992,141.727457,0.8076,0.3226,0.5545,2642.35,0.0
27,221184,143.035640,0.4545,0.2774,0.5308,2272.77,0.0
28,229376,142.270918,0.4039,0.2964,0.5341,2427.82,0.0
29,237568,142.623696,1.0202,0.3263,0.5520,2673.23,0.0
30,245760,142.077079,0.6577,0.3007,0.5467,2463.17,0.0
31,253952,141.225111,0.8197,0.3214,0.5534,2633.15,0.0
32,262144,141.821882,0.7185,0.3125,0.5310,2560.30,0.0
33,270336,141.796696,1.4557,0.3242,0.5567,2656.17,0.0
34,278528,141.492408,1.0693,0.3415,0.5506,2797.30,0.0
35,286720,142.291623,1.2232,0.3533,0.5845,2893.85,0.0
36,294912,142.164298,1.1548,0.3335,0.5319,2732.30,0.0
