Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,103.309646,-0.1711,0.1644,0.3274,673.33,0.0
2,8192,97.583830,0.5083,0.1129,0.3051,462.50,0.0
3,12288,96.380345,0.8471,0.1388,0.3667,568.43,0.0
4,16384,91.602797,0.6853,0.1443,0.3718,591.08,0.0
5,20480,91.082290,0.4698,0.0868,0.2557,355.35,0.0
6,24576,91.880760,0.5971,0.1307,0.3459,535.15,0.0
7,28672,90.948291,0.4091,0.1298,0.3867,531.72,0.0
8,32768,92.031451,0.2289,0.1297,0.3501,531.20,0.0
9,36864,91.598758,0.5029,0.1604,0.3828,656.97,0.0
10,40960,92.371355,0.2326,0.1710,0.3608,700.47,0.0
11,45056,90.795090,0.6160,0.1800,0.4231,737.30,0.0
12,49152,91.556660,0.2694,0.2394,0.4549,980.47,0.0
13,53248,91.766237,0.6383,0.2057,0.3733,842.43,2.625
14,57344,90.194636,0.3377,0.1886,0.4435,772.50,0.0
15,61440,91.108677,0.5806,0.1820,0.4082,745.47,0.0
16,65536,90.782279,0.8827,0.2488,0.4660,1019.07,0.0
17,69632,92.237986,1.1619,0.2437,0.4841,998.12,0.0
18,73728,90.976645,0.5307,0.2834,0.4602,1160.93,0.0
19,77824,90.898304,0.8715,0.2975,0.4948,1218.38,0.0
20,81920,90.925010,1.2293,0.3036,0.4993,1243.45,0.0
21,86016,92.649439,1.0382,0.2905,0.5358,1190.02,0.0
22,90112,93.695121,0.1398,0.3247,0.5179,1330.18,0.0
23,94208,96.188838,0.5529,0.3198,0.5047,1309.95,0.0
24,98304,97.734621,0.9635,0.3059,0.5331,1252.90,0.0
25,102400,96.690696,1.0590,0.3141,0.5301,1286.73,0.0
26,106496,96.918696,0.9031,0.3839,0.5622,1572.38,0.0
27,110592,90.882501,1.1995,0.3536,0.5490,1448.38,0.0
28,114688,91.909951,0.6979,0.3406,0.5658,1395.00,0.0
29,118784,92.132277,1.3516,0.3419,0.5617,1400.27,0.0
