Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,17.885713,-2.1645,0.3323,0.4674,1360.98,0.0
2,8192,17.017398,2.3817,0.2424,0.5351,992.92,0.0
3,12288,16.377844,0.8071,0.2802,0.5392,1147.70,0.0
4,16384,16.401344,1.1553,0.2971,0.5145,1216.93,0.0
5,20480,16.076775,1.5370,0.3166,0.5111,1296.70,0.0
6,24576,16.175191,1.2140,0.3080,0.4962,1261.72,0.0
7,28672,15.889901,1.0192,0.3451,0.4663,1413.43,0.0
8,32768,16.003206,1.2819,0.2782,0.5191,1139.40,0.0
9,36864,16.187129,0.6138,0.3479,0.5180,1424.90,0.0
10,40960,16.224132,1.1086,0.3282,0.4850,1344.32,0.0
11,45056,16.149512,0.7368,0.3499,0.5423,1433.00,0.0
12,49152,16.328775,1.1986,0.3316,0.5300,1358.30,0.0
13,53248,16.945431,1.2167,0.3279,0.5380,1342.90,0.0
14,57344,16.036803,0.9930,0.3192,0.5045,1307.32,0.0
15,61440,16.275023,0.6130,0.3455,0.5468,1415.12,0.0
16,65536,15.885314,0.9469,0.3600,0.5302,1474.45,0.0
17,69632,15.919580,0.9920,0.3583,0.5784,1467.55,0.0
18,73728,16.088226,0.8979,0.3508,0.5389,1436.97,0.0
19,77824,16.090582,0.9980,0.3713,0.5335,1520.77,0.0
20,81920,15.897594,1.1263,0.3661,0.5752,1499.75,0.0
21,86016,16.305233,0.7289,0.4083,0.5496,1672.32,0.0
22,90112,16.561137,1.2227,0.4048,0.5504,1658.07,0.0
23,94208,16.131100,1.2796,0.3400,0.5527,1392.55,0.0
24,98304,16.305019,1.2233,0.3428,0.5553,1403.93,0.0
25,102400,15.919316,0.7259,0.3598,0.5465,1473.72,0.0
26,106496,16.270424,0.9808,0.3699,0.5533,1515.20,0.0
27,110592,16.082752,0.4731,0.4196,0.5391,1718.80,0.0
28,114688,16.081062,1.4126,0.4052,0.5710,1659.60,0.0
29,118784,16.027488,1.0167,0.4112,0.5410,1684.32,0.0
30,122880,16.311546,0.9925,0.4180,0.5622,1712.30,0.0
31,126976,15.992237,1.6999,0.3291,0.5538,1347.82,0.0
32,131072,16.110784,0.7046,0.3879,0.5840,1588.73,0.0
33,135168,16.542992,1.0829,0.3789,0.5614,1552.10,0.0
34,139264,16.413768,0.7748,0.4304,0.5669,1762.90,0.0
35,143360,16.349548,0.9888,0.4041,0.5954,1655.12,0.0
36,147456,16.206931,1.1017,0.4040,0.5853,1654.98,0.0
37,151552,16.176077,1.1289,0.4525,0.5480,1853.40,0.0
38,155648,16.148679,0.9611,0.3810,0.5836,1560.60,0.0
39,159744,15.762781,1.0604,0.3428,0.5760,1403.95,0.0
40,163840,16.280691,0.9389,0.4127,0.5591,1690.25,0.0
41,167936,16.201654,0.8642,0.4025,0.5846,1648.50,0.0
42,172032,16.069060,0.7648,0.3882,0.6132,1590.18,0.0
43,176128,16.279523,0.9889,0.4350,0.5781,1781.85,0.0
44,180224,16.586779,1.1480,0.4399,0.5925,1801.85,0.0
