Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
1,4096,79.687215,-0.4713,0.3136,0.5413,1284.52,0.0
2,8192,77.897696,2.0450,0.3057,0.5811,1252.10,0.0
3,12288,77.235271,1.1576,0.2693,0.5949,1103.05,0.0
4,16384,76.978608,1.0132,0.2802,0.5868,1147.75,0.0
5,20480,77.262158,0.5885,0.2528,0.6251,1035.57,0.0
6,24576,77.730144,0.7962,0.2169,0.6346,888.60,0.0
7,28672,77.356385,0.9661,0.3278,0.5966,1342.65,0.0
8,32768,77.455220,1.8626,0.2718,0.5864,1113.22,0.0
9,36864,77.046041,2.0666,0.2775,0.5575,1136.72,0.0
10,40960,77.690383,0.9998,0.2591,0.5505,1061.48,0.0
11,45056,77.601721,0.8819,0.2088,0.5943,855.12,0.0
12,49152,76.784650,1.2218,0.2657,0.6010,1088.43,0.0
13,53248,77.678086,0.9976,0.2511,0.5703,1028.43,0.0
14,57344,77.456379,1.2023,0.2500,0.5387,1024.10,0.0
15,61440,77.450592,0.6223,0.3226,0.5786,1321.40,0.0
16,65536,77.244047,0.7836,0.3094,0.5654,1267.38,0.0
17,69632,77.652264,0.9675,0.2882,0.6060,1180.35,0.0
18,73728,77.668099,1.3214,0.3101,0.6036,1270.28,0.0
19,77824,76.784406,1.2846,0.2844,0.6180,1164.90,0.0
20,81920,76.479289,0.6001,0.3163,0.5479,1295.38,0.0
21,86016,77.338770,1.1877,0.2947,0.5622,1207.10,0.0
22,90112,77.251446,0.9111,0.2860,0.5010,1171.38,0.0
23,94208,78.441989,0.7348,0.2776,0.4858,1136.99,2.75
24,98304,78.644326,0.8639,0.2622,0.5034,1073.90,0.0
25,102400,77.417634,0.1749,0.2676,0.5310,1096.07,0.0
26,106496,77.905219,1.2499,0.3326,0.5600,1362.23,0.0
27,110592,77.397644,1.2473,0.3287,0.5648,1346.45,2.75
28,114688,77.511063,1.1888,0.3608,0.5635,1477.75,0.0
29,118784,77.044652,0.8857,0.3424,0.5750,1402.32,0.0
30,122880,77.520641,1.6987,0.3474,0.6016,1422.75,0.0
31,126976,77.800822,1.0854,0.3718,0.6108,1522.75,0.0
32,131072,77.009859,1.7875,0.3757,0.5830,1538.95,0.0
33,135168,77.075947,1.5040,0.3949,0.5799,1617.40,0.0
34,139264,77.214236,0.7172,0.3659,0.6027,1498.75,0.0
35,143360,77.751266,0.7208,0.3697,0.6017,1514.10,0.0
36,147456,76.853183,1.4112,0.4071,0.5952,1667.32,0.0
37,151552,78.109502,1.6799,0.3968,0.5933,1625.15,0.0
38,155648,78.682522,0.9972,0.3586,0.5891,1469.00,0.0
39,159744,77.830484,1.4196,0.3846,0.6013,1575.28,0.0
40,163840,78.163962,0.6719,0.3806,0.6050,1558.95,0.0
41,167936,78.485418,0.9566,0.4057,0.5833,1661.95,0.0
42,172032,78.374116,0.8058,0.4363,0.5872,1787.15,0.0
43,176128,79.067822,0.9723,0.3803,0.6089,1557.65,0.0
44,180224,78.234273,1.6146,0.3572,0.6030,1463.28,0.0
45,184320,78.958967,0.9771,0.4222,0.5976,1729.48,0.0
46,188416,77.890852,0.8966,0.4098,0.6013,1678.60,0.0
47,192512,77.315353,1.4356,0.4002,0.5931,1639.32,0.0
48,196608,77.571007,1.1929,0.3744,0.6104,1533.55,0.0
49,200704,77.607495,0.9597,0.4227,0.5899,1731.50,2.625
50,204800,77.488971,1.5317,0.3347,0.5678,1370.90,0.125
51,208896,77.906790,0.7438,0.3835,0.6096,1570.72,0.0
52,212992,77.808208,1.0101,0.3850,0.5930,1577.07,0.0
53,217088,77.137327,0.4242,0.4017,0.5834,1645.55,0.0
54,221184,78.033907,0.9583,0.4397,0.5951,1801.02,0.0
55,225280,77.985027,1.4334,0.4347,0.5875,1780.35,0.0
56,229376,78.667274,0.8506,0.3973,0.5966,1627.47,0.0
57,233472,78.645096,1.4811,0.3896,0.5922,1595.82,0.0
58,237568,78.045202,0.9205,0.3873,0.6047,1586.47,0.0
59,241664,79.344680,0.9966,0.4374,0.5675,1791.70,0.0
60,245760,77.679410,1.4193,0.4451,0.5836,1823.00,0.0
61,249856,77.498023,1.3043,0.4298,0.5930,1760.45,0.0
62,253952,78.299029,0.3922,0.4145,0.6027,1697.60,0.0
63,258048,78.295220,1.1756,0.4104,0.5868,1681.18,0.0
64,262144,78.288310,1.2214,0.4059,0.6144,1662.40,0.0
65,266240,79.063278,0.5236,0.4621,0.5919,1892.60,0.0
66,270336,78.195710,1.6205,0.3951,0.6032,1618.25,0.0
67,274432,78.437161,0.9391,0.3760,0.6072,1539.93,0.0
68,278528,78.511328,1.3164,0.3797,0.5727,1555.34,2.75
69,282624,79.152051,1.1553,0.3461,0.5999,1417.72,0.0
70,286720,78.390383,0.9577,0.4615,0.5760,1890.18,0.0
71,290816,78.095753,0.9423,0.4016,0.5521,1645.04,2.75
72,294912,77.496872,1.3465,0.4347,0.5998,1780.48,0.0
73,299008,77.913456,1.5381,0.4166,0.6247,1706.27,0.0
74,303104,77.259196,1.5047,0.3771,0.5873,1544.70,0.0
75,307200,78.092376,1.1212,0.4282,0.5903,1753.88,0.0
76,311296,78.110883,1.0865,0.3831,0.5973,1569.15,0.0
77,315392,78.046489,1.1967,0.4251,0.6161,1741.30,0.0
78,319488,77.557681,1.2043,0.4222,0.6064,1729.22,0.0
79,323584,78.005596,1.3077,0.4196,0.5995,1718.57,0.0
80,327680,77.994389,1.4101,0.4117,0.6047,1686.45,0.0
81,331776,77.303025,1.3249,0.3932,0.5909,1610.53,0.0
82,335872,77.079267,1.0056,0.4228,0.5817,1731.95,0.0
83,339968,77.715156,1.3245,0.4139,0.5397,1695.20,2.625
84,344064,77.788131,1.2403,0.3854,0.5745,1578.68,0.0
85,348160,77.174045,0.7980,0.3509,0.5225,1437.47,0.0
86,352256,77.698157,0.8544,0.3392,0.5190,1389.40,2.75
87,356352,77.556872,1.0782,0.2647,0.5430,1084.20,0.0
88,360448,77.384816,0.8522,0.3032,0.5081,1241.97,0.0
89,364544,77.568454,0.8746,0.3451,0.5293,1413.40,0.0
90,368640,77.518759,0.7876,0.3407,0.5574,1395.50,0.0
91,372736,78.202794,1.0830,0.3651,0.5531,1495.35,0.0
92,376832,77.496567,1.0704,0.4057,0.5883,1661.83,0.0
93,380928,78.133007,0.9786,0.4337,0.5767,1776.52,0.0
94,385024,78.969326,0.6288,0.4254,0.5712,1742.47,0.0
95,389120,77.366578,0.9049,0.3771,0.5672,1544.47,2.75
96,393216,77.916425,1.4463,0.3498,0.5655,1432.88,0.0
